epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,93.2128,0.53687,0.37913,0.99829,0.99792,1,0.995,0.92585,0.34989,0.25586,0.93142,0.0010892,0.0010892,0.0010892
48,95.1178,0.52375,0.38542,1.02296,0.99676,1,0.995,0.90235,0.39504,0.3084,0.93882,0.0010694,0.0010694,0.0010694
49,97.0213,0.48995,0.3557,0.97552,0.99685,1,0.995,0.93672,0.367,0.29501,0.91691,0.0010496,0.0010496,0.0010496
50,98.869,0.48641,0.34156,0.98684,0.99743,1,0.995,0.93405,0.33061,0.27116,0.91689,0.0010298,0.0010298,0.0010298
51,100.773,0.48428,0.33219,0.98672,0.99756,1,0.995,0.92698,0.33843,0.26502,0.91753,0.00101,0.00101,0.00101
52,102.629,0.473,0.33694,0.98287,0.99802,1,0.995,0.93023,0.3416,0.24837,0.91061,0.0009902,0.0009902,0.0009902
53,104.552,0.48966,0.33765,0.96756,0.99839,1,0.995,0.90865,0.37236,0.2336,0.93082,0.0009704,0.0009704,0.0009704
54,106.489,0.46974,0.3334,0.95402,0.99851,1,0.995,0.92353,0.34087,0.23314,0.9151,0.0009506,0.0009506,0.0009506
55,108.376,0.4228,0.31738,0.94471,0.99856,1,0.995,0.93419,0.32704,0.22107,0.90012,0.0009308,0.0009308,0.0009308
56,110.296,0.44238,0.3189,0.96192,0.99821,1,0.995,0.93558,0.32187,0.21394,0.90749,0.000911,0.000911,0.000911
57,112.19,0.4579,0.3253,0.95377,0.99792,1,0.995,0.94835,0.33073,0.24737,0.91434,0.0008912,0.0008912,0.0008912
58,114.031,0.45901,0.32982,0.96582,0.99811,1,0.995,0.93511,0.33927,0.23236,0.9098,0.0008714,0.0008714,0.0008714
59,115.853,0.4298,0.31323,0.94622,0.9981,1,0.995,0.93856,0.31744,0.2298,0.90737,0.0008516,0.0008516,0.0008516
60,117.7,0.46278,0.31067,0.95652,0.99632,1,0.995,0.94197,0.30214,0.21486,0.90033,0.0008318,0.0008318,0.0008318
