epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,89.1784,0.4239,0.3398,0.8679,0.99581,1,0.995,0.9242,0.37335,0.25936,0.81771,0.000717875,0.000717875,0.000717875
45,91.0954,0.41567,0.32581,0.86028,0.9981,1,0.995,0.93381,0.36624,0.23024,0.81369,0.0007055,0.0007055,0.0007055
46,93.0127,0.40321,0.31451,0.86385,0.99816,1,0.995,0.93074,0.35786,0.23292,0.8114,0.000693125,0.000693125,0.000693125
47,94.8152,0.42223,0.32786,0.87357,0.99744,1,0.995,0.9318,0.36403,0.23425,0.81441,0.00068075,0.00068075,0.00068075
48,96.7373,0.41282,0.31447,0.87331,0.99726,1,0.995,0.93018,0.37638,0.232,0.81633,0.000668375,0.000668375,0.000668375
49,98.6804,0.40748,0.31187,0.856,0.99756,1,0.995,0.93296,0.35215,0.23007,0.80804,0.000656,0.000656,0.000656
50,100.587,0.41351,0.31515,0.8695,0.99599,1,0.995,0.93506,0.35746,0.23353,0.80979,0.000643625,0.000643625,0.000643625
51,102.515,0.41063,0.30711,0.86354,0.99794,1,0.995,0.94452,0.3545,0.22683,0.80665,0.00063125,0.00063125,0.00063125
52,104.523,0.41088,0.30922,0.865,0.99718,1,0.995,0.93456,0.361,0.22667,0.81128,0.000618875,0.000618875,0.000618875
53,106.372,0.41232,0.30324,0.87253,0.99849,1,0.995,0.9251,0.35839,0.21564,0.81129,0.0006065,0.0006065,0.0006065
54,108.285,0.39944,0.29461,0.86381,0.99849,1,0.995,0.93534,0.35634,0.21046,0.80794,0.000594125,0.000594125,0.000594125
55,110.113,0.39897,0.2901,0.86518,0.99793,1,0.995,0.93262,0.36807,0.21876,0.81343,0.00058175,0.00058175,0.00058175
56,112.028,0.39605,0.28894,0.85746,0.99833,1,0.995,0.94264,0.35104,0.20497,0.8083,0.000569375,0.000569375,0.000569375
57,113.879,0.41216,0.29517,0.86673,0.99785,1,0.995,0.93989,0.34912,0.20986,0.80995,0.000557,0.000557,0.000557
58,115.743,0.39598,0.29649,0.8524,0.99767,1,0.995,0.936,0.35004,0.21718,0.80983,0.000544625,0.000544625,0.000544625
59,117.643,0.4058,0.28694,0.86311,0.99694,1,0.995,0.93406,0.37061,0.2205,0.81552,0.00053225,0.00053225,0.00053225
60,119.595,0.38961,0.27895,0.86035,0.99793,1,0.995,0.94037,0.35405,0.20726,0.81185,0.000519875,0.000519875,0.000519875
61,121.54,0.38717,0.2794,0.86474,0.99763,1,0.995,0.93451,0.36574,0.20444,0.81434,0.0005075,0.0005075,0.0005075
62,123.467,0.3913,0.27964,0.86649,0.99832,1,0.995,0.93231,0.36269,0.20425,0.81158,0.000495125,0.000495125,0.000495125
63,125.411,0.38166,0.2777,0.86183,0.99818,1,0.995,0.93075,0.35793,0.19689,0.80908,0.00048275,0.00048275,0.00048275
64,127.375,0.37833,0.26912,0.85965,0.99813,1,0.995,0.94055,0.34846,0.19084,0.80838,0.000470375,0.000470375,0.000470375
65,129.275,0.38079,0.27011,0.85725,0.99857,1,0.995,0.94267,0.34659,0.19741,0.80722,0.000458,0.000458,0.000458
